french,english
la nourriture,food
le repas,meal
le petit-déjeuner,breakfast
le déjeuner,lunch
le dîner,dinner
le goûter,snack/afternoon tea
l'entrée (f),starter/appetizer
le plat principal,main course
le dessert,dessert
la boisson,drink
la recette,recipe
le menu,menu
la cuisine,cooking/kitchen
le goût,taste/flavor
l'ingrédient (m),ingredient
la pomme,apple
la banane,banana
l'orange (f),orange
la fraise,strawberry
le citron,lemon
le citron vert,lime
l'ananas (m),pineapple
le raisin,grape
la pêche,peach
la poire,pear
la pastèque,watermelon
le melon,melon
le kiwi,kiwi
la cerise,cherry
la framboise,raspberry
la myrtille,blueberry
la mûre,blackberry
la mangue,mango
la grenade,pomegranate
l'avocat (m),avocado
la noix de coco,coconut
la mandarine,tangerine
l'abricot (m),apricot
la prune,plum
la papaye,papaya
la figue,fig
le fruit,fruit
les fruits rouges,berries
les agrumes,citrus fruits
la carotte,carrot
la pomme de terre,potato
la tomate,tomato
l'oignon (m),onion
l'ail (m),garlic
la laitue,lettuce
le concombre,cucumber
le poivron,bell pepper
le maïs,corn
la citrouille,pumpkin
la courgette,zucchini
l'aubergine (f),eggplant
les épinards (m),spinach
le brocoli,broccoli
le chou-fleur,cauliflower
le haricot vert,green bean
le champignon,mushroom
le petit pois,pea
la betterave,beet
le chou,cabbage
l'artichaut (m),artichoke
l'asperge (f),asparagus
la ciboulette,chives
le poireau,leek
le céleri,celery
le radis,radish
la blette,chard
le gingembre,ginger
le légume,vegetable
la salade,salad
les herbes (f),herbs
les crudités (f),raw vegetables
la viande,meat
le poulet,chicken
le bœuf,beef
le porc,pork
l'agneau (m),lamb
le jambon,ham
le lard,bacon
la saucisse,sausage
le steak,steak
la côtelette,chop
la dinde,turkey
le canard,duck
la viande hachée,ground meat
le filet,fillet
le gigot,leg (of lamb)
les côtes (f),ribs
le foie,liver
le lapin,rabbit
la poitrine,breast (meat)
la cuisse,thigh
l'aile (f),wing
l'andouillette (f),tripe sausage
le veau,veal
le rôti,roast
le gibier,game meat
la volaille,poultry
la charcuterie,cured meats
le poisson,fish
les fruits de mer (m),seafood
le thon,tuna
le saumon,salmon
le merlu,hake
la morue,cod
la dorade,sea bream
le bar,sea bass
la sole,sole
la truite,trout
la sardine,sardine
l'anchois (m),anchovy
la crevette,shrimp
le homard,lobster
le crabe,crab
le poulpe,octopus
le calamar,squid
la coquille Saint-Jacques,scallop
la moule,mussel
la palourde,clam
