spanish,english
familia,family
padre,father
madre,mother
papá,dad
mamá,mom
padres,parents
hijo,son
hija,daughter
hijos,children
hermano,brother
hermana,sister
hermanos,siblings
abuelo,grandfather
abuela,grandmother
abuelos,grandparents
nieto,grandson
nieta,granddaughter
nietos,grandchildren
bebé,baby
gemelos,twins
tío,uncle
tía,aunt
tíos,uncles/aunt and uncle
primo,male cousin
prima,female cousin
primos,cousins
sobrino,nephew
sobrina,niece
sobrinos,nephews/nieces
cuñado,brother-in-law
cuñada,sister-in-law
suegro,father-in-law
suegra,mother-in-law
suegros,parents-in-law
yerno,son-in-law
nuera,daughter-in-law
bisabuelo,great-grandfather
bisabuela,great-grandmother
bisnieto,great-grandson
bisnieta,great-granddaughter
tataranieto,great-great-grandson
tataranieta,great-great-granddaughter
antepasados,ancestors
descendientes,descendants
pariente,relative
familiar,family member
madrastra,stepmother
padrastro,stepfather
hermanastro,stepbrother
hermanastra,stepsister
esposo,husband
esposa,wife
esposos,spouses
marido,husband
mujer,wife (also: woman)
matrimonio,marriage
boda,wedding
pareja,couple/partner
novio,boyfriend/fiancé
novia,girlfriend/fiancée
prometido,fiancé
prometida,fiancée
compromiso,engagement
anillo,ring
casado,married (masculine)
casada,married (feminine)
soltero,single (masculine)
soltera,single (feminine)
divorciado,divorced (masculine)
divorciada,divorced (feminine)
viudo,widower
viuda,widow
separado,separated (masculine)
separada,separated (feminine)
amante,lover
compañero,partner/companion (masculine)
compañera,partner/companion (feminine)
relación,relationship
unión,union
divorcio,divorce
amor,love
cariño,affection/endearment
pasión,passion
deseo,desire
atracción,attraction
enamorado,in love (masculine)
enamorada,in love (feminine)
romance,romance
romántico,romantic
corazón,heart
sentimiento,feeling
emoción,emotion
afecto,affection
ternura,tenderness
intimidad,intimacy
admiración,admiration
respeto,respect
confianza,trust
honestidad,honesty
fidelidad,fidelity
infidelidad,infidelity
celos,jealousy
pelea,fight/argument
reconciliación,reconciliation
perdón,forgiveness
mi amor,my love
cariño,darling
querido,dear (masculine)
querida,dear (feminine)
corazón,sweetheart (lit: heart)
tesoro,treasure
cielo,heaven/sweetie
vida,"life (as in ""my life"")"
precioso,precious (masculine)
preciosa,precious (feminine)
bebé,baby
hermoso,beautiful (masculine)
hermosa,beautiful (feminine)
dulce,sweet
lindo,cute/pretty (masculine)
linda,cute/pretty (feminine)
guapo,handsome
bonita,pretty
príncipe,prince
princesa,princess
cumpleaños,birthday
aniversario,anniversary
bautizo,baptism
comunión,communion
confirmación,confirmation
graduación,graduation
funeral,funeral
reunión familiar,family gathering
fiesta,party
celebración,celebration
tradición,tradition
herencia,heritage/inheritance
regalo,gift
