index,french,english
0,je,I
1,je voudrais,I would like
2,une moitié,a half
3,peu de,"a little, few"
4,longtemps,a long time
5,beaucoup de,a lot of
6,beaucoup,"a lot, much"
7,un quart,a quarter
8,un ensemble,a set
9,un tiers,a third
10,un/une,"a, an, one"
11,une centaine,about a hundred
12,une dizaine,about ten
13,une trentaine,about thirty
14,une vingtaine,about twenty
15,au-dessus,above
16,tout à fait,absolutely
17,selon,according to
18,après,after
19,contre,against
20,air,air
21,air,air
22,avion,airplane
23,aéroport,airport
24,tout le,all the
25,tous les,all the (plural)
26,tout le temps,all the time
27,tout,"all, everything"
28,allergie,allergy
29,presque,almost
30,seul,"alone, only"
31,déjà,already
32,aussi,"also, too"
33,bien que,although
34,toujours,always
35,ancien,"ancient, former"
36,et,and
37,animal,animal
38,cheville,ankle
39,n'importe quel,any
40,n'importe comment,anyhow
41,n'importe quand,anytime
42,n'importe où,anywhere
43,appartement,apartment
44,pomme,apple
45,à peu près,approximately
46,bras,arm
47,fauteuil,armchair
48,autour,around
49,arrivée,arrival
50,art,art
51,quant à,as for
52,autant,as much
53,dès que,as soon as
54,grenier,attic
55,tante,aunt
56,automne,"autumn, fall"
57,avenue,avenue
58,dos,back
59,mauvais,bad
60,mal,badly
61,sac,bag
62,balcon,balcony
63,banane,banana
64,salle de bain,bathroom
65,baignoire,bathtub
66,plage,beach
67,beau/belle,beautiful
68,parce que,because
69,à cause de,because of
70,car,"because, for"
71,lit,bed
72,chambre,bedroom
73,chambre,bedroom
74,bœuf,beef
75,bière,beer
76,avant,before
77,avant de,before
78,au-dessous,below
79,ceinture,belt
80,meilleur ami,best friend
81,mieux,better
82,entre,between
83,vélo,bicycle
84,grand,"big, tall, great"
85,milliard,billion
86,oiseau,bird
87,noir,black
88,sang,blood
89,bleu,blue
90,bateau,boat
91,corps,body
92,os,bone
93,livre,book
94,botte,boot
95,frontière,border
96,patron,boss
97,patron,boss
98,boulevard,boulevard
99,bracelet,bracelet
100,cerveau,brain
101,pain,bread
102,petit déjeuner,breakfast
103,pont,bridge
104,frère,brother
105,beau-frère,brother-in-law
106,copain,"buddy, boyfriend"
107,immeuble,building
108,bus,bus
109,mais,but
110,beurre,butter
111,bouton,button
112,à force de,by dint of
113,par,"by, through"
114,gâteau,cake
115,bonbon,candy
116,voiture,car
117,tapis,"carpet, rug"
118,carotte,carrot
119,plafond,ceiling
120,cave,cellar
121,centre,center
122,certain,certain (some)
123,certain,"certain, sure"
124,certainement,certainly
125,chaise,chair
126,fromage,cheese
127,poulet,chicken
128,enfant,child
129,enfant,child
130,chocolat,chocolate
131,ville,"city, town"
132,ville,"city, town"
133,classe,class
134,client,client
135,climat,climate
136,horloge,clock
137,vêtement,"clothing, garment"
138,nuage,cloud
139,manteau,coat
140,café,coffee
141,froid,cold
142,rhume,cold
143,froid,cold
144,collègue,colleague
145,collègue,colleague
146,couleur,color
147,entreprise,company
148,ordinateur,computer
149,concernant,concerning
150,félicitations,congratulations
151,coton,cotton
152,pays,country
153,pays,country
154,couple,couple
155,cours,"course, lesson"
156,cousine,cousin (female)
157,cousin,cousin (male)
158,actuellement,currently
159,rideau,curtain
160,douane,customs
161,papa,dad
162,fille,daughter
163,belle-fille,daughter-in-law
164,jour,day
165,cher,"dear, expensive"
166,retard,delay
167,départ,departure
168,désert,desert
169,malgré,despite
170,dessert,dessert
171,différent,different
172,difficile,difficult
173,salle à manger,dining room
174,dîner,dinner
175,diplôme,"diploma, degree"
176,direction,direction
177,directement,directly
178,lave-vaisselle,dishwasher
179,divorcé,divorced
180,médecin,doctor
181,porte,door
182,porte,door
183,double,double
184,robe,dress
185,boisson,drink
186,conducteur,driver
187,durant,during
188,pendant,during
189,chaque,each
190,oreille,ear
191,tôt,early
192,boucle d'oreille,earring
193,terre,earth
194,terre,"earth, soil"
195,est,east
196,facile,easy
197,éducation,education
198,œuf,egg
199,huit,eight
200,coude,elbow
201,ascenseur,elevator
202,ailleurs,elsewhere
203,employé,employee
204,employé,employee
205,bon appétit,enjoy your meal
206,énormément,enormously
207,assez,enough
208,entier,"entire, whole"
209,entrée,entrance
210,environnement,environment
211,également,"equally, also"
212,partout,everywhere
213,exactement,exactly
214,examen,exam
215,sauf,except
216,hormis,except
217,excuse-moi,excuse me (informal)
218,œil/yeux,eye/eyes
219,yeux,eyes
220,tissu,fabric
221,visage,face
222,visage,face
223,famille,family
224,famille,family
225,loin,far
226,mode,fashion
227,père,father
228,père,father
229,beau-père,father-in-law
230,fièvre,fever
231,fiancé,fiancé
232,fiancée,fiancée
233,champ,field
234,cinquante,fifty
235,enfin,finally
236,doigt,finger
237,feu,fire
238,premier/première,first
239,premier,first
240,poisson,fish
241,poisson,fish
242,cinq,five
243,sol,floor
244,fleur,flower
245,grippe,flu
246,nourriture,food
247,pied,foot
248,pied,foot
249,pour,for
250,de peur que,for fear that
251,faute de,for lack of
252,front,forehead
253,étranger,"foreign, abroad"
254,forêt,forest
255,autrefois,formerly
256,heureusement,fortunately
257,quarante,forty
258,quatre,four
259,libre,free
260,ami,friend
261,ami,friend
262,amie,friend (female)
263,de temps en temps,from time to time
264,dès,"from, as soon as"
265,fruit,fruit
266,plein,full
267,jardin,garden
268,jardin,garden
269,général,general
270,géographie,geography
271,copine,girlfriend
272,lunettes,glasses
273,gant,glove
274,parrain,godfather
275,marraine,godmother
276,bon,good
277,bonsoir,good evening
278,bonne chance,good luck
279,bonne nuit,good night
280,au revoir,goodbye
281,petite-fille,granddaughter
282,grand-père,grandfather
283,grand-mère,grandmother
284,petit-fils,grandson
285,herbe,grass
286,vert,green
287,cheveux,hair
288,demi,half
289,main,hand
290,main,hand
291,heureux,happy
292,content,happy
293,chapeau,hat
294,bonne journée,have a good day
295,il,"he, it"
