french,english
famille,family
père,father
mère,mother
papa,dad
maman,mom
parents,parents
fils,son
fille,daughter
enfant,child
enfants,children
frère,brother
sœur,sister
grand-père,grandfather
grand-mère,grandmother
grands-parents,grandparents
petit-fils,grandson
petite-fille,granddaughter
petits-enfants,grandchildren
bébé,baby
jumeaux,twins
oncle,uncle
tante,aunt
cousin,male cousin
cousine,female cousin
neveu,nephew
nièce,niece
beau-frère,brother-in-law
belle-sœur,sister-in-law
beau-père,father-in-law/stepfather
belle-mère,mother-in-law/stepmother
beaux-parents,in-laws/stepparents
gendre,son-in-law
bru,daughter-in-law
arrière-grand-père,great-grandfather
arrière-grand-mère,great-grandmother
arrière-petit-fils,great-grandson
arrière-petite-fille,great-granddaughter
ancêtres,ancestors
descendants,descendants
parent,relative
parenté,relatives/kinship
lignée,lineage
génération,generation
aîné,elder/eldest
cadet,younger sibling
demi-frère,half-brother
demi-sœur,half-sister
adopté,adopted
filleul,godson
filleule,goddaughter
mari,husband
femme,wife (also: woman)
époux,husband/spouse
épouse,wife
conjoint,spouse (masculine)
conjointe,spouse (feminine)
mariage,marriage
noces,wedding
couple,couple
partenaire,partner
petit ami,boyfriend
petite amie,girlfriend
fiancé,fiancé
fiancée,fiancée
fiançailles,engagement
alliance,wedding ring
bague,ring
marié,married (masculine)
mariée,married (feminine)/bride
célibataire,single
divorcé,divorced (masculine)
divorcée,divorced (feminine)
veuf,widower
veuve,widow
séparé,separated (masculine)
séparée,separated (feminine)
amant,lover (masculine)
amante,lover (feminine)
compagnon,partner/companion (masculine)
compagne,partner/companion (feminine)
amour,love
affection,affection
passion,passion
désir,desire
attraction,attraction
amoureux,in love (masculine)
amoureuse,in love (feminine)
romance,romance
romantique,romantic
cœur,heart
sentiment,feeling
émotion,emotion
tendresse,tenderness
intimité,intimacy
admiration,admiration
respect,respect
confiance,trust
honnêteté,honesty
fidélité,fidelity
infidélité,infidelity
jalousie,jealousy
dispute,argument
réconciliation,reconciliation
pardon,forgiveness
complicité,complicity/intimacy
mon amour,my love
chéri,darling (masculine)
chérie,darling (feminine)
mon cœur,my heart
trésor,treasure
mon ange,my angel
ma vie,my life
mon petit,my little one (masculine)
ma petite,my little one (feminine)
doudou,sweetie
mon bébé,my baby
mon chou,my cabbage (term of endearment)
ma puce,my flea (term of endearment)
mon lapin,my rabbit (term of endearment)
ma chérie,my darling (feminine)
mon chéri,my darling (masculine)
mon prince,my prince
ma princesse,my princess
mon loup,my wolf (term of endearment)
ma douce,my sweet one (feminine)
anniversaire,birthday
anniversaire de mariage,wedding anniversary
baptême,baptism
communion,communion
confirmation,confirmation
remise de diplôme,graduation
obsèques,funeral
réunion de famille,family gathering
fête,party/celebration
