spanish,english
viajar,to travel
viaje,trip/journey
turista,tourist
pasaporte,passport
visa,visa
maleta,suitcase
equipaje,luggage
mochila,backpack
boleto/billete,ticket
reservación/reserva,reservation
hotel,hotel
habitación,room
recepción,reception
alojamiento,accommodation
hostal,hostel
camping,campsite
turismo,tourism
vacaciones,vacation/holiday
destino,destination
itinerario,itinerary
transporte,transportation
público,public
privado,private
vehículo,vehicle
conducir,to drive
manejar,to drive (Latin America)
conductor,driver
pasajero,passenger
tráfico,traffic
embotellamiento,traffic jam
carretera,highway/road
ruta,route
dirección,direction/address
mapa,map
navegador/GPS,navigator/GPS
aplicación,app
compartir,to share
alquilar,to rent
reservar,to reserve/book
pagar,to pay
coche/carro/auto,car
autobús/bus,bus
taxi,taxi
parada,stop
estación,station
terminal,terminal
autopista,highway/freeway
peaje,toll
gasolina/gasolinera,gasoline/gas station
diesel,diesel
aparcar,to park (Spain)
estacionamiento,parking lot
parquear,to park (Latin America)
alquiler de coches,car rental
licencia de conducir,driver's license
camión,truck
motocicleta/moto,motorcycle
bicicleta/bici,bicycle
ciclista,cyclist
furgoneta/van,van
aeropuerto,airport
avión,airplane
vuelo,flight
línea aérea,airline
azafata/o,flight attendant
piloto,pilot
despegar,to take off
aterrizar,to land
escala,layover
directo,direct
tarjeta de embarque,boarding pass
puerta,gate
terminal,terminal
facturación,check-in
equipaje de mano,carry-on luggage
aduana,customs
seguridad,security
control de pasaportes,passport control
retraso,delay
cancelación,cancellation
tren,train
estación de tren,train station
vía,track
andén,platform
vagón,carriage/car
asiento,seat
primera clase,first class
segunda clase,second class
horario,timetable/schedule
metro,subway/underground
subterráneo,underground (Latin America)
tranvía,tram/streetcar
ferrocarril,railway
salida,departure
llegada,arrival
billetería,ticket office
máquina expendedora,vending machine
validar,to validate
transbordo,transfer
maquinista,train driver
barco,boat/ship
ferry,ferry
crucero,cruise
puerto,port
muelle,dock/pier
paseo en barco,boat trip
navegar,to sail/navigate
capitán,captain
marinero,sailor
chaleco salvavidas,life jacket
bote,small boat
yate,yacht
lancha,motorboat
camarote,cabin
cubierta,deck
pasaje,passage
embarcar,to board
desembarcar,to disembark
marea,tide
puerto deportivo,marina
mapa,map
norte,north
sur,south
este,east
oeste,west
derecha,right
izquierda,left
recto,straight
girar,to turn
cruzar,to cross
seguir,to follow
cerca,near
lejos,far
aquí,here
allí,there
entre,between
frente a,across from/in front of
esquina,corner
cuadra,block (Latin America)
manzana,block (Spain)
señal,sign
semáforo,traffic light
paso de peatones,pedestrian crossing
pare/alto,stop
ceda el paso,yield
prohibido,forbidden
sentido único,one way
doble sentido,two way
velocidad máxima,maximum speed
zona escolar,school zone
zona de construcción,construction zone
desvío,detour
rotonda/glorieta,roundabout
intersección,intersection
cruce,crossing
multa,fine/ticket
policía de tránsito,traffic police
accidente,accident
emergencia,emergency
detenerse,to stop
rueda,wheel
neumático/llanta,tire
volante,steering wheel
freno,brake
acelerador,accelerator
embrague,clutch
cambio/transmisión,gearbox/transmission
motor,engine
batería,battery
parabrisas,windshield
limpiaparabrisas,windshield wiper
espejo,mirror
luces,lights
intermitente,turn signal
cinturón de seguridad,seatbelt
airbag,airbag
aire acondicionado,air conditioning
calefacción,heating
maletero/cajuela,trunk
capó/cofre,hood
hotel,hotel
hostal,hostel
apartamento,apartment
albergue,shelter/hostel
pensión,guesthouse
habitación,room
cama,bed
baño,bathroom
ducha,shower
llave,key
tarjeta,card
recepción,reception
servicio de habitación,room service
desayuno,breakfast
incluido,included
wifi,wifi
aire acondicionado,air conditioning
reserva,reservation
cancelación,cancellation
disponible,available
itinerario,itinerary
agendar,to schedule
guía turística,tourist guide/guidebook
visita guiada,guided tour
excursión,excursion/trip
precio,price
tarifa,rate/fare
descuento,discount
alto/alta temporada,high season
baja temporada,low season
información turística,tourist information
centro de visitantes,visitor center
folleto,brochure
horario,schedule/timetable
abierto,open
cerrado,closed
reservar,to book/reserve
cancelar,to cancel
modificar,to modify
confirmar,to confirm
pasaporte,passport
